#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
21   0.00           2.55           18             41375109       2097152        0.129312       182            164             90.11           100.00         
20   0.00           7.14           58             115847459      1048576        0.064656       363            305             84.02           100.00         
19   0.00           12.06          168            195624197      524288         0.032328       818            650             79.46           99.99          
18   0.00           22.30          643            361697430      262144         0.016164       1671           1028            61.52           99.99          
17   0.01           26.11          979            423441778      131072         0.008082       2619           1640            62.62           99.98          
16   0.02           35.51          2540           575825471      65536          0.004041       5067           2527            49.87           99.97          
15   0.04           44.38          5681           719752878      32768          0.002021       9899           4218            42.61           99.93          
14   0.09           53.88          12582          873757396      16384          0.001010       19866          7284            36.67           99.86          
13   0.19           64.41          28175          1044615791     8192           0.000505       39271          11096           28.25           99.73          
12   0.33           71.43          47298          1158511218     4096           0.000253       66342          19044           28.71           99.54          
11   0.56           77.33          80866          1254177165     2048           0.000126       110404         29538           26.75           99.24          
10   0.91           81.92          132154         1328531698     1024           0.000063       178181         46027           25.83           98.77          
9    1.47           85.59          214148         1388084092     512            0.000032       285591         71443           25.02           98.04          
8    2.53           89.01          367441         1443498962     256            0.000016       474735         107294          22.60           96.74          
7    4.16           91.66          605170         1486508842     128            0.000008       767807         162637          21.18           94.72          
6    6.92           93.92          1006513        1523246972     64             0.000004       1254732        248219          19.78           91.37          
5    11.88          95.89          1728085        1555142692     32             0.000002       2022013        293928          14.54           86.10          
4    19.20          97.29          2793053        1577877841     16             0.000001       3166869        373816          11.80           78.23          
3    27.91          98.19          4059758        1592400170     8              0.000000       5063440        1003682         19.82           65.19          
2    50.02          99.27          7275530        1609933520     4              0.000000       7742518        466988          6.03            46.77          
1    75.50          99.78          10981040       1618209316     2              0.000000       11332775       351735          3.10            22.08          
0    100.00         100.00         14544415       1621772691     1              0.000000       14544415       0               0.00            0.00           
