#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
18   0.00           1.75           2              750854         262144         0.612014       105            103             98.10           100.00         
17   0.00           2.91           5              1246295        131072         0.306007       127            122             96.06           100.00         
16   0.00           6.40           25             2743073        65536          0.153003       291            266             91.41           99.99          
15   0.00           10.00          55             4284167        32768          0.076502       588            533             90.65           99.98          
14   0.01           15.75          163            6748243        16384          0.038251       948            785             82.81           99.96          
13   0.01           21.29          392            9121069        8192           0.019125       1766           1374            77.80           99.93          
12   0.04           28.63          951            12261356       4096           0.009563       2884           1933            67.02           99.89          
11   0.06           32.39          1550           13871530       2048           0.004781       4435           2885            65.05           99.83          
10   0.13           38.56          3468           16517573       1024           0.002391       7856           4388            55.86           99.70          
9    0.24           43.48          6453           18622997       512            0.001195       14476          8023            55.42           99.46          
8    0.59           50.86          15723          21786624       256            0.000598       28565          12842           44.96           98.93          
7    1.32           58.46          35056          25039403       128            0.000299       56333          21277           37.77           97.88          
6    2.86           66.80          76039          28611443       64             0.000149       116308         40269           34.62           95.63          
5    6.68           77.21          177763         33069531       32             0.000075       225283         47520           21.09           91.54          
4    11.45          83.76          304978         35876978       16             0.000037       367506         62528           17.01           86.20          
3    17.98          88.42          478811         37872303       8              0.000019       626773         147962          23.61           76.46          
2    34.05          93.95          906634         40241769       4              0.000009       1006277        99643           9.90            62.21          
1    59.45          97.48          1583135        41753149       2              0.000005       1690602        107467          6.36            36.52          
0    100.00         100.00         2663022        42833036       1              0.000002       2663022        0               0.00            0.00           
