#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
20   0.24           85.84          2              4102338        1048576        21.940849      14             12              85.71           98.34          
19   0.24           85.84          2              4102338        524288         10.970425      14             12              85.71           98.34          
18   0.24           85.84          2              4102338        262144         5.485212       14             12              85.71           98.34          
17   0.24           85.84          2              4102338        131072         2.742606       14             12              85.71           98.34          
16   0.24           85.84          2              4102338        65536          1.371303       14             12              85.71           98.34          
15   0.48           87.80          4              4196233        32768          0.685652       14             10              71.43           98.34          
14   1.07           90.20          9              4310686        16384          0.342826       18             9               50.00           97.86          
13   3.80           97.82          32             4674705        8192           0.171413       39             7               17.95           95.36          
12   5.71           99.45          48             4752986        4096           0.085706       55             7               12.73           93.46          
11   6.06           99.65          51             4762487        2048           0.042853       60             9               15.00           92.87          
10   6.90           99.85          58             4771705        1024           0.021427       67             9               13.43           92.03          
9    7.02           99.86          59             4772272        512            0.010713       68             9               13.24           91.91          
8    7.37           99.88          62             4773588        256            0.005357       77             15              19.48           90.84          
7    7.97           99.90          67             4774540        128            0.002678       97             30              30.93           88.47          
6    9.16           99.92          77             4775444        64             0.001339       105            28              26.67           87.51          
5    12.25          99.95          103            4776733        32             0.000670       150            47              31.33           82.16          
4    15.70          99.97          132            4777462        16             0.000335       199            67              33.67           76.34          
3    19.38          99.97          163            4777841        8              0.000167       226            63              27.88           73.13          
2    32.10          99.98          270            4778384        4              0.000084       326            56              17.18           61.24          
1    47.21          99.99          397            4778660        2              0.000042       480            83              17.29           42.93          
0    100.00         100.00         841            4779104        1              0.000021       841            0               0.00            0.00           
