#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
24   0.00           1.89           1              20694064       16777216       1.536043       58             57              98.28           100.00         
23   0.00           2.70           2              29541353       8388608        0.768021       80             78              97.50           100.00         
22   0.00           4.22           5              46042284       4194304        0.384011       100            95              95.00           100.00         
21   0.00           4.47           6              48862672       2097152        0.192005       101            95              94.06           100.00         
20   0.00           5.13           10             56009852       1048576        0.096003       184            174             94.57           100.00         
19   0.00           7.10           42             77559107       524288         0.048001       324            282             87.04           100.00         
18   0.00           9.29           117            101487786      262144         0.024001       855            738             86.32           100.00         
17   0.00           12.34          299            134830399      131072         0.012000       1709           1410            82.50           99.99          
16   0.00           16.95          882            185152260      65536          0.006000       3703           2821            76.18           99.98          
15   0.01           24.04          2618           262582859      32768          0.003000       7990           5372            67.23           99.96          
14   0.03           31.37          6215           342614622      16384          0.001500       15012          8797            58.60           99.92          
13   0.08           39.44          14073          430781923      8192           0.000750       31181          17108           54.87           99.83          
12   0.17           48.52          30856          529936010      4096           0.000375       57533          26677           46.37           99.69          
11   0.37           58.52          68336          639197195      2048           0.000188       109556         41220           37.62           99.41          
10   0.67           66.22          125433         723332284      1024           0.000094       186096         60663           32.60           99.00          
9    1.20           72.57          223551         792626351      512            0.000047       315399         91848           29.12           98.30          
8    2.28           78.95          424920         862356377      256            0.000023       556980         132060          23.71           97.01          
7    4.29           85.14          797270         929981090      128            0.000012       980870         183600          18.72           94.73          
6    6.78           89.06          1261091        972759349      64             0.000006       1540614        279523          18.14           91.72          
5    11.37          92.56          2116038        1010948971     32             0.000003       2456572        340534          13.86           86.80          
4    18.51          95.23          3443111        1040185189     16             0.000001       3857183        414072          10.74           79.27          
3    26.40          96.78          4911713        1057095144     8              0.000001       5927008        1015295         17.13           68.14          
2    45.07          98.52          8385274        1076070714     4              0.000000       8964399        579125          6.46            51.82          
1    69.74          99.48          12975402       1086606502     2              0.000000       13499225       523823          3.88            27.44          
0    100.00         100.00         18605097       1092236197     1              0.000000       18605097       0               0.00            0.00           
