#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
14   0.03           6.80           1              20226          16384          5.505913       11             10              90.91           99.64          
13   0.16           21.61          5              64304          8192           2.752956       27             22              81.48           99.12          
12   0.52           37.90          16             112792         4096           1.376478       41             25              60.98           98.67          
11   1.17           55.88          36             166289         2048           0.688239       66             30              45.45           97.86          
10   2.24           71.55          69             212905         1024           0.344120       101            32              31.68           96.72          
9    2.92           76.69          90             228213         512            0.172060       127            37              29.13           95.88          
8    5.35           86.15          165            256369         256            0.086030       211            46              21.80           93.16          
7    9.57           94.03          295            279802         128            0.043015       342            47              13.74           88.91          
6    11.19          95.62          345            284526         64             0.021507       442            97              21.95           85.66          
5    13.10          96.47          404            287065         32             0.010754       554            150             27.08           82.03          
4    18.03          97.64          556            290549         16             0.005377       773            217             28.07           74.93          
3    26.73          98.62          824            293450         8              0.002688       1051           227             21.60           65.91          
2    36.98          99.18          1140           295124         4              0.001344       1436           296             20.61           53.42          
1    48.88          99.47          1507           295995         2              0.000672       1834           327             17.83           40.51          
0    100.00         100.00         3083           297571         1              0.000336       3083           0               0.00            0.00           
