#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
17   0.00           0.81           2              464454         131072         0.229681       25             23              92.00           100.00         
16   0.00           2.43           12             1386154        65536          0.114840       283            271             95.76           99.99          
15   0.00           6.92           65             3946927        32768          0.057420       965            900             93.26           99.95          
14   0.01           12.49          197            7124817        16384          0.028710       1365           1168            85.57           99.94          
13   0.03           23.24          681            13259586       8192           0.014355       2314           1633            70.57           99.89          
12   0.08           32.07          1577           18300556       4096           0.007178       3994           2417            60.52           99.81          
11   0.21           45.20          4306           25792564       2048           0.003589       8005           3699            46.21           99.62          
10   0.31           50.83          6575           29004803       1024           0.001794       12672          6097            48.11           99.40          
9    0.52           56.34          11021          32148846       512            0.000897       20358          9337            45.86           99.03          
8    1.10           63.73          23161          36367854       256            0.000449       38019          14858           39.08           98.19          
7    2.18           70.60          45683          40288889       128            0.000224       70134          24451           34.86           96.66          
6    4.30           77.81          90363          44405031       64             0.000112       128542         38179           29.70           93.88          
5    8.67           85.14          181990         48585759       32             0.000056       224083         42093           18.78           89.33          
4    14.67          90.04          308078         51381105       16             0.000028       357695         49617           13.87           82.97          
3    21.45          92.97          450455         53052686       8              0.000014       556641         106186          19.08           73.50          
2    39.96          96.54          839173         55091673       4              0.000007       913719         74546           8.16            56.49          
1    67.35          98.80          1414478        56381327       2              0.000004       1480406        65928           4.45            29.51          
0    100.00         100.00         2100161        57067010       1              0.000002       2100161        0               0.00            0.00           
