#i    % nodes        % calls        # nodes        # calls        min node freq  (% of calls)   # HCCT nodes   # cold in HCCT  % cold in HCCT  space saving % 
24   0.00           1.94           1              22694807       16777216       1.433153       31             30              96.77           100.00         
23   0.00           2.80           2              32736315       8388608        0.716576       33             31              93.94           100.00         
22   0.00           23.71          43             277597351      4194304        0.358288       111            68              61.26           100.00         
21   0.00           38.69          101            452889875      2097152        0.179144       311            210             67.52           99.99          
20   0.00           45.22          161            529386641      1048576        0.089572       433            272             62.82           99.99          
19   0.01           50.42          231            590189845      524288         0.044786       721            490             67.96           99.98          
18   0.01           56.07          416            656345878      262144         0.022393       1068           652             61.05           99.97          
17   0.02           63.46          900            742850373      131072         0.011197       2109           1209            57.33           99.95          
16   0.04           70.69          1808           827508709      65536          0.005598       3694           1886            51.06           99.91          
15   0.08           75.95          3178           889095981      32768          0.002799       6296           3118            49.52           99.85          
14   0.11           79.12          4784           926167594      16384          0.001400       8924           4140            46.39           99.79          
13   0.19           82.30          7935           963391402      8192           0.000700       13674          5739            41.97           99.67          
12   0.34           85.42          14192          999937063      4096           0.000350       22219          8027            36.13           99.47          
11   0.64           88.52          26731          1036316064     2048           0.000175       39159          12428           31.74           99.06          
10   1.08           90.76          45002          1062459789     1024           0.000087       63828          18826           29.49           98.47          
9    1.80           92.66          75332          1084758026     512            0.000044       104086         28754           27.63           97.51          
8    3.46           94.90          144568         1110981648     256            0.000022       183500         38932           21.22           95.61          
7    5.85           96.45          244581         1129058126     128            0.000011       301832         57251           18.97           92.78          
6    9.50           97.63          396765         1142911899     64             0.000005       474008         77243           16.30           88.66          
5    15.61          98.56          652028         1153788080     32             0.000003       734593         82565           11.24           82.42          
4    23.41          99.15          978194         1160699968     16             0.000001       1068261        90067           8.43            74.43          
3    30.26          99.43          1264454        1163969252     8              0.000001       1464913        200459          13.68           64.94          
2    44.85          99.71          1873960        1167270896     4              0.000000       2007062        133102          6.63            51.96          
1    66.17          99.88          2764950        1169237777     2              0.000000       2906846        141896          4.88            30.43          
0    100.00         100.00         4178267        1170651094     1              0.000000       4178267        0               0.00            0.00
